prolific_id,id,pe.smoothed_derived,utt.standardized,RT.pe,pe_task,custom_response,RT.uc,cost.uc,uc_task,education,gender,age,timeSpent
5ee454ad40c72e152991826e,if1_uh,0.9999833338888704,if blue does not fall green does not fall,19982,NA,,7030,2,both blocks fall,Higher Degree,male,48,22.705416666666668
5ee454ad40c72e152991826e,if1_uh,1.5151469237972005e-6,if green falls blue does not fall,19982,NA,,7030,2,both blocks fall,Higher Degree,male,48,22.705416666666668
5ee454ad40c72e152991826e,if1_uh,0.1764724913382862,if green does not fall blue does not fall,19982,NA,,7030,2,both blocks fall,Higher Degree,male,48,22.705416666666668
5ee454ad40c72e152991826e,if1_uh,0.9399982400070399,blue might fall,19982,NA,,7030,2,both blocks fall,Higher Degree,male,48,22.705416666666668
5ee454ad40c72e152991826e,if1_uh,0.060001759992960015,blue might not fall,19982,NA,,7030,2,both blocks fall,Higher Degree,male,48,22.705416666666668
5ee454ad40c72e152991826e,if1_uh,0.65999936000256,green might fall,19982,NA,,7030,2,both blocks fall,Higher Degree,male,48,22.705416666666668
5ee454ad40c72e152991826e,if1_uh,0.34000063999744,green might not fall,19982,NA,,7030,2,both blocks fall,Higher Degree,male,48,22.705416666666668
5ee454ad40c72e152991826e,independent_uh,0.16000035999856,blue falls but green does not fall,21678,0.16,,21270,5,the green block falls and the blue block falls,Higher Degree,male,48,22.705416666666668
5ee454ad40c72e152991826e,independent_uh,0.26999992000031997,green falls but blue does not fall,21678,0.27,,21270,5,the green block falls and the blue block falls,Higher Degree,male,48,22.705416666666668
5ee454ad40c72e152991826e,independent_uh,0.51999892000432,both blocks fall,21678,0.52,,21270,5,the green block falls and the blue block falls,Higher Degree,male,48,22.705416666666668
5ee454ad40c72e152991826e,independent_uh,0.05000079999680001,neither block falls,21678,0.05,,21270,5,the green block falls and the blue block falls,Higher Degree,male,48,22.705416666666668
5ee454ad40c72e152991826e,independent_uh,0.67999928000288,blue falls,21678,NA,,21270,5,the green block falls and the blue block falls,Higher Degree,male,48,22.705416666666668
5ee454ad40c72e152991826e,independent_uh,0.78999884000464,green falls,21678,NA,,21270,5,the green block falls and the blue block falls,Higher Degree,male,48,22.705416666666668
5ee454ad40c72e152991826e,independent_uh,0.32000071999712,blue does not fall,21678,NA,,21270,5,the green block falls and the blue block falls,Higher Degree,male,48,22.705416666666668
5ee454ad40c72e152991826e,independent_uh,0.21000115999536,green does not fall,21678,NA,,21270,5,the green block falls and the blue block falls,Higher Degree,male,48,22.705416666666668
5ee454ad40c72e152991826e,independent_uh,0.7647051038085182,if blue falls green falls,21678,NA,,21270,5,the green block falls and the blue block falls,Higher Degree,male,48,22.705416666666668
5ee454ad40c72e152991826e,independent_uh,0.8437478515759276,if blue does not fall green falls,21678,NA,,21270,5,the green block falls and the blue block falls,Higher Degree,male,48,22.705416666666668
5ee454ad40c72e152991826e,independent_uh,0.6582274475254493,if green falls blue falls,21678,NA,,21270,5,the green block falls and the blue block falls,Higher Degree,male,48,22.705416666666668
5ee454ad40c72e152991826e,independent_uh,0.7619022675974514,if green does not fall blue falls,21678,NA,,21270,5,the green block falls and the blue block falls,Higher Degree,male,48,22.705416666666668
5ee454ad40c72e152991826e,independent_uh,0.23529489619148175,if blue falls green does not fall,21678,NA,,21270,5,the green block falls and the blue block falls,Higher Degree,male,48,22.705416666666668
5ee454ad40c72e152991826e,independent_uh,0.15625214842407234,if blue does not fall green does not fall,21678,NA,,21270,5,the green block falls and the blue block falls,Higher Degree,male,48,22.705416666666668
5ee454ad40c72e152991826e,independent_uh,0.34177255247455063,if green falls blue does not fall,21678,NA,,21270,5,the green block falls and the blue block falls,Higher Degree,male,48,22.705416666666668
5ee454ad40c72e152991826e,independent_uh,0.23809773240254853,if green does not fall blue does not fall,21678,NA,,21270,5,the green block falls and the blue block falls,Higher Degree,male,48,22.705416666666668
5ee454ad40c72e152991826e,independent_uh,0.67999928000288,blue might fall,21678,NA,,21270,5,the green block falls and the blue block falls,Higher Degree,male,48,22.705416666666668
5ee454ad40c72e152991826e,independent_uh,0.32000071999712,blue might not fall,21678,NA,,21270,5,the green block falls and the blue block falls,Higher Degree,male,48,22.705416666666668
5ee454ad40c72e152991826e,independent_uh,0.78999884000464,green might fall,21678,NA,,21270,5,the green block falls and the blue block falls,Higher Degree,male,48,22.705416666666668
5ee454ad40c72e152991826e,independent_uh,0.21000115999536,green might not fall,21678,NA,,21270,5,the green block falls and the blue block falls,Higher Degree,male,48,22.705416666666668
5ee454ad40c72e152991826e,if1_hh,0.25,blue falls but green does not fall,12991,0.25,Both the blue and the green blocks will fall.,22805,2,both blocks fall,Higher Degree,male,48,22.705416666666668
5ee454ad40c72e152991826e,if1_hh,0.11000055999776003,green falls but blue does not fall,12991,0.11,Both the blue and the green blocks will fall.,22805,2,both blocks fall,Higher Degree,male,48,22.705416666666668
5ee454ad40c72e152991826e,if1_hh,0.56999872000512,both blocks fall,12991,0.57,Both the blue and the green blocks will fall.,22805,2,both blocks fall,Higher Degree,male,48,22.705416666666668
5ee454ad40c72e152991826e,if1_hh,0.07000071999712003,neither block falls,12991,0.07,Both the blue and the green blocks will fall.,22805,2,both blocks fall,Higher Degree,male,48,22.705416666666668
5ee454ad40c72e152991826e,if1_hh,0.81999872000512,blue falls,12991,NA,Both the blue and the green blocks will fall.,22805,2,both blocks fall,Higher Degree,male,48,22.705416666666668
