prolific_id,id
5a9dd20b4eecca0001dd9f1d,if1_uh
5a9dd20b4eecca0001dd9f1d,if2_hl
5a9dd20b4eecca0001dd9f1d,if2_ll
5a9dd20b4eecca0001dd9f1d,if2_u-Ll
5a9dd20b4eecca0001dd9f1d,if2_ul
5a9dd20b4eecca0001dd9f1d,independent_hh
5a9dd20b4eecca0001dd9f1d,independent_hl
5a9dd20b4eecca0001dd9f1d,independent_ll
5a9dd20b4eecca0001dd9f1d,independent_uh
5a9dd20b4eecca0001dd9f1d,independent_ul
5e1f0f5628b7b62348f7ba3e,if1_hh
5e1f0f5628b7b62348f7ba3e,if1_lh
5e1f0f5628b7b62348f7ba3e,if1_u-Lh
5e1f0f5628b7b62348f7ba3e,if1_uh
5e1f0f5628b7b62348f7ba3e,if2_hl
5e1f0f5628b7b62348f7ba3e,if2_ll
5e1f0f5628b7b62348f7ba3e,if2_u-Ll
5e1f0f5628b7b62348f7ba3e,if2_ul
5e1f0f5628b7b62348f7ba3e,independent_hh
5e1f0f5628b7b62348f7ba3e,independent_hl
5e1f0f5628b7b62348f7ba3e,independent_ll
5e1f0f5628b7b62348f7ba3e,independent_uh
5e1f0f5628b7b62348f7ba3e,independent_ul
5fa0484c567cb704fdebd0f0,if1_hh
5fa0484c567cb704fdebd0f0,if1_lh
5fa0484c567cb704fdebd0f0,if1_u-Lh
5fa0484c567cb704fdebd0f0,if1_uh
5fa0484c567cb704fdebd0f0,if2_hl
5fa0484c567cb704fdebd0f0,if2_ll
5fa0484c567cb704fdebd0f0,if2_u-Ll
5fa0484c567cb704fdebd0f0,if2_ul
5fa0484c567cb704fdebd0f0,independent_hh
5fa0484c567cb704fdebd0f0,independent_hl
5fa0484c567cb704fdebd0f0,independent_ll
5fa0484c567cb704fdebd0f0,independent_uh
5fa0484c567cb704fdebd0f0,independent_ul
