id,alpha_1,alpha_2,alpha_3,alpha_4
if1_hh,1.047654021937251,0.2571771842939856,0.1408466723602209,0.14987233127631067
if1_lh,0.14648321157286098,0.12320810724305198,0.15130858698591945,0.3210356112934868
if1_u-Lh,0.684051273244576,0.20378349039949448,0.14585848572371934,0.3272679523348049
if1_uh,0.7387953195931095,0.1880830076254605,0.13622609555532902,0.28493597917561786
if2_hl,0.4286483654833561,0.29467522144967834,0.11869933750236863,0.1649791619778898
if2_ll,0.3263090537735392,0.20305260733389652,0.13490823429583593,0.4081349276827294
if2_u-Ll,0.29908141098020846,0.27282803805492534,0.12416356221863326,0.2518711566296136
if2_ul,0.45621179878797924,0.3039414803119102,0.12873000871409132,0.19755249740141395
independent_hh,0.687304403341395,0.14267632291679216,0.21070327201685754,0.1225515369463944
independent_hl,0.3982289669535511,0.5098092143738776,0.13823708735671955,0.1353654764864926
independent_ll,0.1351511586070913,0.1365911169313298,0.29551817049161455,0.5385122704992485
independent_uh,0.5977918051428541,0.20761667514953513,0.4044917155391128,0.16935844685672194
independent_ul,0.39594547032031574,0.5507139526382694,0.27549695259498885,0.34281497964358454
