prolific_id,id,question,response,expected,trial_name,trial_number
5f85750a256d25010d68e377,not-red-yellow,NA,ynr,ynr,attention_check,1
5f85750a256d25010d68e377,not-yellow-red,NA,rny,rny,attention_check,2
5f85750a256d25010d68e377,red-yellow,NA,both,both,attention_check,3
5f7b4c3627c6070cc0ceee0c,not-red-yellow,NA,ynr,ynr,attention_check,1
5f7b4c3627c6070cc0ceee0c,not-yellow-red,NA,rny,rny,attention_check,2
5f7b4c3627c6070cc0ceee0c,red-yellow,NA,both,both,attention_check,3
59d8ef5a498aef0001d6fe2d,not-red-yellow,NA,ynr,ynr,attention_check,1
59d8ef5a498aef0001d6fe2d,not-yellow-red,NA,rny,rny,attention_check,2
59d8ef5a498aef0001d6fe2d,red-yellow,NA,both,both,attention_check,3
5fbe5321e3dc2e000927aeca,not-red-yellow,NA,ynr,ynr,attention_check,1
5fbe5321e3dc2e000927aeca,not-yellow-red,NA,rny,rny,attention_check,2
5fbe5321e3dc2e000927aeca,red-yellow,NA,both,both,attention_check,3
5d1c9d39ff67e3000140ca87,not-red-yellow,NA,ynr,ynr,attention_check,1
5d1c9d39ff67e3000140ca87,not-yellow-red,NA,rny,rny,attention_check,2
5d1c9d39ff67e3000140ca87,red-yellow,NA,both,both,attention_check,3
5ff7009fcf35e22f25730637,not-red-yellow,NA,ynr,ynr,attention_check,1
5ff7009fcf35e22f25730637,not-yellow-red,NA,rny,rny,attention_check,2
5ff7009fcf35e22f25730637,red-yellow,NA,both,both,attention_check,3
5ffde612ea01ac3ed6fd7c99,not-red-yellow,NA,ynr,ynr,attention_check,1
5ffde612ea01ac3ed6fd7c99,not-yellow-red,NA,rny,rny,attention_check,2
5ffde612ea01ac3ed6fd7c99,red-yellow,NA,both,both,attention_check,3
5f7f07d317a72e01b1c57f27,not-red-yellow,NA,ynr,ynr,attention_check,1
5f7f07d317a72e01b1c57f27,not-yellow-red,NA,rny,rny,attention_check,2
5f7f07d317a72e01b1c57f27,red-yellow,NA,both,both,attention_check,3
5fc365bbef90dd2e757dfd79,not-red-yellow,NA,ynr,ynr,attention_check,1
5fc365bbef90dd2e757dfd79,not-yellow-red,NA,rny,rny,attention_check,2
5fc365bbef90dd2e757dfd79,red-yellow,NA,both,both,attention_check,3
5f2b3a8a7823df56b6f5ce3b,not-red-yellow,NA,ynr,ynr,attention_check,1
5f2b3a8a7823df56b6f5ce3b,not-yellow-red,NA,rny,rny,attention_check,2
5f2b3a8a7823df56b6f5ce3b,red-yellow,NA,both,both,attention_check,3
